rank,player,position,team,bye,posrank,player_stat,points
39,David Montgomery,R,CHI,14,17,David Montgomery,183.57999999999998
13,Stefon Diggs,W,BUF,7,6,Stefon Diggs,178.29000000000002
42,Ezekiel Elliott,R,DAL,9,20,Ezekiel Elliott,177.64000000000004
41,J.K. Dobbins,R,BAL,10,19,J.K. Dobbins,177.49
29,Cam Akers,R,LAR,7,15,Cam Akers,173.47000000000003
16,CeeDee Lamb,W,DAL,9,7,CeeDee Lamb,173.09
40,Breece Hall,R,NYJ,10,18,Breece Hall,173.01
26,Mike Evans,W,TB,11,11,Mike Evans,172.95
21,Travis Kelce,T,KC,8,2,Travis Kelce,172.78
56,Elijah Mitchell,R,SF,9,23,Elijah Mitchell,171.62000000000003
19,Mark Andrews,T,BAL,10,1,Mark Andrews,171.16
81,Damien Harris,R,NE,10,29,Damien Harris,170.67
17,Tyreek Hill,W,MIA,11,8,Tyreek Hill,169.95000000000002
55,Josh Jacobs,R,LV,6,22,Josh Jacobs,169.15
25,Tee Higgins,W,CIN,10,10,Tee Higgins,165.4
48,Travis Etienne Jr.,R,JAC,11,21,Travis Etienne Jr.,162.29
59,Miles Sanders,R,PHI,7,26,Miles Sanders,162.01
31,A.J. Brown,W,PHI,7,14,A.J. Brown,161.82
36,Mike Williams,W,LAC,8,18,Mike Williams,156.43
30,Michael Pittman Jr.,W,IND,14,13,Michael Pittman Jr.,153.98000000000002
151,Justin Tucker,K,BAL,10,1,Justin Tucker,153.20499999999998
155,Daniel Carlson,K,LV,6,5,Daniel Carlson,152.635
57,Clyde Edwards-Helaire,R,KC,8,24,Clyde Edwards-Helaire,152.33
27,DJ Moore,W,CAR,13,12,DJ Moore,151.44000000000003
105,Rashaad Penny,R,SEA,11,36,Rashaad Penny,151.02
154,Harrison Butker,K,KC,8,4,Harrison Butker,150.79
153,Matt Gay,K,LAR,7,3,Matt Gay,149.64499999999998
24,Keenan Allen,W,LAC,8,9,Keenan Allen,149.54000000000002
191,Greg Joseph,K,MIN,7,11,Greg Joseph,149.155
51,Gabriel Davis,W,BUF,7,26,Gabriel Davis,148.69000000000003
37,Brandin Cooks,W,HOU,6,19,Brandin Cooks,148.57999999999998
58,Devin Singletary,R,BUF,7,25,Devin Singletary,148.20000000000002
104,AJ Dillon,R,GB,14,35,AJ Dillon,147.6
86,Tony Pollard,R,DAL,9,34,Tony Pollard,146.09
224,Ryan Succop,K,TB,11,14,Ryan Succop,145.62
45,DK Metcalf,W,SEA,11,21,DK Metcalf,145.54000000000002
157,Nick Folk,K,NE,10,7,Nick Folk,145.46499999999997
152,Evan McPherson,K,CIN,10,2,Evan McPherson,145.29
158,Tyler Bass,K,BUF,7,8,Tyler Bass,145.02
34,Diontae Johnson,W,PIT,9,16,Diontae Johnson,142.93
223,Robbie Gould,K,SF,9,13,Robbie Gould,142.85999999999999
256,Mason Crosby,K,GB,14,16,Mason Crosby,142.74
159,Matt Prater,K,ARI,13,9,Matt Prater,142.52499999999998
85,Cordarrelle Patterson,R,ATL,14,33,Cordarrelle Patterson,142.2
32,Terry McLaurin,W,WAS,14,15,Terry McLaurin,142.18
287,Chris Boswell,K,PIT,9,17,Chris Boswell,141.88
84,Antonio Gibson,R,WAS,14,32,Antonio Gibson,141.78000000000003
156,Brandon McManus,K,DEN,9,6,Brandon McManus,140.99
47,Courtland Sutton,W,DEN,9,23,Courtland Sutton,140.28000000000003
255,Dustin Hopkins,K,LAC,8,15,Dustin Hopkins,140.0
80,Rhamondre Stevenson,R,NE,10,28,Rhamondre Stevenson,139.22
35,Jaylen Waddle,W,MIA,11,17,Jaylen Waddle,139.02
65,Michael Thomas,W,NO,14,29,Michael Thomas,137.43
192,Jake Elliott,K,PHI,7,12,Jake Elliott,137.375
